,PFC
532,44.47
533,44.12
534,44.11
535,44.11
536,44.1
537,44.44
538,44.44
539,44.09
540,44.08
541,44.08
542,44.07
543,44.07
544,44.06
545,44.4
546,46.1
547,47.25
548,48.47
549,49.76
550,49.75
551,48.46
552,54.16
553,49.74
554,48.44
555,47.21
556,47.21
557,46.04
558,44.35
559,44.34
560,43.99
561,43.99
562,43.19
563,43.19
564,43.18
565,42.96
566,42.31
567,42.2
568,42.3
569,42.3
570,42.08
571,41.46
572,41.46
573,41.25
574,41.24
575,40.65
576,40.55
577,40.55
578,39.89
579,39.89
580,39.9
581,39.9
582,39.91
583,39.18
584,39.92
585,39.18
586,38.48
587,39.19
588,39.93
589,39.94
590,39.94
591,39.21
592,39.95
593,39.96
594,40.53
595,40.64
596,41.33
597,41.34
598,41.34
599,42.17
600,44.04
601,47.24
602,54.36
603,55.4
604,58.42
605,59.22
606,61.12
607,62.93
608,66.14
609,66.12
610,66.11
611,66.09
612,67.41
613,67.39
614,67.38
615,68.75
616,68.74
617,68.72
618,68.7
619,65.97
620,65.96
621,65.94
622,64.78
623,63.78
624,61.1
625,60.88
626,59.91
627,58.97
628,58.97
629,58.98
630,58.98
631,58.17
632,58.17
633,58.18
634,58.18
635,58.18
636,57.4
637,56.07
638,55.62
639,55.17
640,55.17
641,55.16
642,54.27
643,54.26
644,54.25
645,54.23
646,54.22
647,54.04
648,47.51
649,46.35
650,44.3
651,43.51
652,42.65
653,42.44
654,41.82
655,41.62
656,40.93
657,40.84
658,40.27
659,37.79
660,36.83
661,36.83
662,36.84
663,36.68
664,36.84
665,36.69
666,35.86
667,34.28
668,33.44
669,32.73
670,32.05
671,31.97
672,31.4
673,31.23
674,30.68
675,30.67
676,30.58
677,30.57
678,30.56
679,30.11
680,30.1
681,30.09
682,30.08
683,30.07
684,30.06
685,30.05
686,30.04
687,30.04
688,30.47
689,30.54
690,30.92
691,31.07
692,31.7
693,31.78
694,32.45
695,33.24
696,34.07
697,36.18
698,36.55
699,36.7
700,36.85
701,38.33
702,40.12
703,40.11
704,40.1
705,40.67
706,40.66
707,40.08
708,40.08
709,40.07
710,38.61
711,38.61
712,40.05
713,37.58
714,37.57
715,36.68
716,38.58
717,38.57
718,38.22
719,36.64
720,36.63
721,36.62
722,36.61
723,36.55
724,36.59
725,37.5
726,36.56
727,36.55
728,36.54
729,36.53
730,38.14
731,38.13
732,38.47
733,38.46
734,38.45
735,37.43
736,38.44
737,38.43
738,39.13
739,39.12
740,39.85
741,39.84
742,39.84
743,39.83
744,39.82
745,39.82
746,39.81
747,39.8
748,39.79
749,39.05
750,38.34
751,37.32
752,36.36
753,36.36
754,36.25
755,36.19
756,36.18
757,35.8
758,35.35
759,35.34
760,35.33
761,34.58
762,33.4
763,32.56
764,31.86
765,31.76
766,31.75
767,31.16
768,30.99
769,30.51
770,30.21
771,30.21
772,30.21
773,30.36
774,30.36
775,30.21
776,29.83
777,30.21
778,30.21
779,30.21
780,30.37
781,30.37
782,30.37
783,30.53
784,31.0
785,31.0
786,31.09
787,31.17
788,31.75
789,32.54
