Unnamed: 0,Wind Onshore [MW],Wind Offshore [MW],Solar [MW],Water [MW],Biomass [MW]
120,67263.87,14670.63,0.0,1403.0,4828.49
121,67518.99,15567.46,0.0,1417.0,4826.47
122,67921.13,15527.78,0.0,1418.0,4825.47
123,67808.7,15777.78,0.0,1413.0,4828.49
124,67244.41,17563.49,0.0,1391.0,4846.62
125,66933.07,18194.44,0.0,1397.0,4864.75
126,66533.09,18198.41,0.0,1406.0,4865.76
127,65497.46,18261.9,0.0,1409.0,4872.81
128,64833.71,18027.78,30.8,1403.0,4895.97
129,64489.94,16984.13,132.01,1408.0,4897.99
130,64213.2,16912.7,462.03,1409.0,4900.0
131,63746.19,16932.54,1280.5,1395.0,4866.76
132,63357.02,16880.95,2864.61,1384.0,4885.9
133,62401.39,16880.95,5077.98,1381.0,4905.04
134,61540.89,16825.4,7682.97,1378.0,4905.04
135,61378.74,16634.92,10419.98,1376.0,4887.91
136,61523.59,16583.33,13456.2,1390.0,4910.07
137,61409.01,16484.13,16668.44,1407.0,4910.07
138,60909.57,16369.05,20188.7,1416.0,4894.96
139,60412.3,16059.52,22701.29,1397.0,4901.01
140,60980.92,15690.48,25684.71,1434.0,4925.18
141,61361.44,15313.49,27264.43,1455.0,4921.15
142,61785.2,14678.57,28782.54,1478.0,4918.13
143,61763.58,14027.78,29763.81,1431.0,4905.04
144,62423.01,13567.46,30371.06,1479.0,4915.11
145,62334.37,13301.59,30599.88,1447.0,4933.24
146,62070.6,13500.0,30437.07,1462.0,4926.19
147,61603.59,13456.35,30555.87,1479.0,4924.17
148,61683.59,13031.75,29957.43,1503.0,4928.2
149,61605.75,12714.29,28509.72,1457.0,4920.14
150,61350.63,12472.22,26978.41,1460.0,4938.27
151,60105.28,12083.33,24927.86,1452.0,4919.14
152,58736.7,12444.44,23066.52,1450.0,4942.3
153,58129.16,11805.56,20259.11,1492.0,4930.22
154,56760.58,11361.11,17337.29,1451.0,4950.36
155,55467.66,11503.97,14380.27,1417.0,4935.25
156,53446.14,11944.44,10974.42,1462.0,4948.35
157,51712.16,12202.38,7643.37,1543.0,4947.34
158,51599.74,12900.79,4981.17,1437.0,4940.29
159,51258.13,12428.57,2803.01,1501.0,4940.29
160,50304.66,11369.05,1108.88,1368.0,4938.27
161,49195.53,11650.79,316.82,1370.0,4944.32
162,48376.1,11103.17,35.2,1411.0,4935.25
163,48213.95,11662.7,0.0,1654.0,4948.35
164,47967.48,12126.98,0.0,1405.0,4936.26
165,47210.75,11976.19,0.0,1449.0,4931.22
166,46233.5,11150.79,0.0,1436.0,4955.4
167,45673.53,10162.7,0.0,1515.0,4956.4
168,44830.33,10059.52,0.0,1475.0,4952.37
169,43965.5,10388.89,0.0,1472.0,4948.35
170,42465.03,10841.27,0.0,1502.0,4940.29
171,41306.17,11539.68,0.0,1508.0,4954.39
172,40140.82,11579.37,0.0,1574.0,4946.33
173,39351.66,11861.11,0.0,1544.0,4952.37
174,38207.93,11932.54,0.0,1474.0,4938.27
175,37371.22,11638.89,0.0,1442.0,4938.27
176,36742.06,11142.86,0.0,1495.0,4932.23
177,36190.73,10158.73,0.0,1436.0,4936.26
178,35306.45,10825.4,0.0,1422.0,4923.17
179,34688.1,10980.16,0.0,1417.0,4932.23
180,33875.16,10396.83,0.0,1404.0,4933.24
181,32815.75,10738.1,0.0,1370.0,4926.19
182,31758.51,12023.81,0.0,1380.0,4928.2
183,31306.64,12051.59,0.0,1376.0,4914.1
184,30491.54,12309.52,0.0,1443.0,4908.06
185,29607.26,12087.3,0.0,1385.0,4893.96
186,29036.47,12817.46,0.0,1390.0,4898.99
187,28413.8,11408.73,0.0,1382.0,4873.81
188,27758.7,11547.62,0.0,1450.0,4880.86
189,27241.96,10924.6,0.0,1410.0,4883.88
190,27211.69,10781.75,0.0,1424.0,4888.92
191,26712.26,11511.9,0.0,1392.0,4872.81
192,26522.0,12150.79,0.0,1460.0,4878.85
193,26050.67,13166.67,0.0,1435.0,4873.81
194,25639.88,12511.9,0.0,1422.0,4859.71
195,25172.87,13111.11,0.0,1413.0,4860.72
196,25114.5,14373.02,0.0,1459.0,4841.58
197,24943.69,14932.54,0.0,1442.0,4825.47
198,24457.23,15591.27,0.0,1434.0,4845.61
199,24011.84,15746.03,0.0,1434.0,4830.5
200,23923.2,14503.97,0.0,1440.0,4838.56
201,23810.77,15551.59,0.0,1400.0,4832.52
202,23765.37,15230.16,0.0,1447.0,4807.34
203,23508.08,14678.57,0.0,1429.0,4827.48
204,23544.84,15285.71,0.0,1420.0,4838.56
205,23925.36,16436.51,0.0,1387.0,4811.37
206,24323.18,16186.51,0.0,1387.0,4823.45
207,24671.27,16623.02,0.0,1388.0,4840.58
208,24878.83,15642.86,0.0,1414.0,4862.73
209,25136.12,16464.29,0.0,1389.0,4826.47
210,25780.41,16809.52,0.0,1392.0,4839.57
211,25972.83,17051.59,0.0,1411.0,4826.47
212,26007.43,17396.83,0.0,1426.0,4844.6
213,26262.55,17432.54,0.0,1404.0,4843.6
214,26576.05,17789.68,0.0,1449.0,4845.61
