Iron_steel,Olefin,Methanol,Ammonia
13543.16,11951.68,742.87,1133.07
13570.25,11932.85,741.7,1131.28
13566.37,11940.09,742.15,1131.97
13589.48,11940.24,742.16,1131.99
13557.8,11940.24,742.16,1131.99
13519.11,11929.18,741.47,1130.94
13500.06,11929.39,741.49,1130.96
13539.47,11923.51,741.12,1130.4
13486.9,11906.98,740.09,1128.83
13467.0,11891.59,739.14,1127.37
13414.63,11889.98,739.04,1127.22
13376.66,11841.18,736.0,1122.59
13300.26,11811.02,734.13,1119.73
13204.63,11747.65,730.19,1113.73
13094.74,11724.22,728.73,1111.51
12982.67,11650.68,724.16,1104.53
12882.17,11587.22,720.22,1098.52
12660.88,11490.96,714.23,1089.39
12409.03,11360.2,706.11,1076.99
12342.19,11318.74,703.53,1073.06
12315.79,11320.1,703.61,1073.19
12366.39,11332.02,704.36,1074.32
12337.38,11326.65,704.02,1073.81
12346.81,11315.43,703.32,1072.75
12365.19,11296.28,702.13,1070.94
12407.94,11341.97,704.97,1075.27
12402.45,11371.47,706.81,1078.06
12463.12,11351.08,705.54,1076.13
12464.04,11376.69,707.13,1078.56
12484.78,11372.47,706.87,1078.16
12407.89,11361.18,706.17,1077.09
12387.13,11340.65,704.89,1075.14
12365.91,11342.84,705.03,1075.35
12326.4,11331.2,704.3,1074.25
12339.09,11319.19,703.56,1073.11
12320.06,11298.15,702.25,1071.11
12347.47,11332.97,704.41,1074.41
12379.96,11346.21,705.24,1075.67
12444.66,11364.45,706.37,1077.4
12482.13,11396.46,708.36,1080.43
12574.36,11445.75,711.42,1085.11
12678.16,11496.19,714.56,1089.89
12830.06,11597.66,720.87,1099.51
13000.65,11651.88,724.24,1104.65
13146.3,11747.97,730.21,1113.76
13370.89,11830.85,735.36,1121.62
13514.5,11935.53,741.87,1131.54
13719.38,12016.88,746.92,1139.25
13897.9,12105.25,752.42,1147.63
14086.19,12213.26,759.13,1157.87
14264.63,12276.18,763.04,1163.83
14402.29,12350.57,767.66,1170.89
14507.04,12410.81,771.41,1176.6
14596.81,12478.58,775.62,1183.02
14754.42,12506.33,777.35,1185.65
14787.53,12558.25,780.57,1190.58
14774.08,12549.38,780.02,1189.73
14854.63,12588.21,782.44,1193.42
14855.61,12581.42,782.01,1192.77
14842.69,12595.34,782.88,1194.09
14847.96,12599.3,783.13,1194.47
14806.85,12594.07,782.8,1193.97
14801.54,12577.61,781.78,1192.41
14831.73,12580.77,781.97,1192.71
14826.48,12595.01,782.86,1194.06
14838.24,12587.26,782.38,1193.33
14844.6,12598.3,783.06,1194.37
14861.67,12615.28,784.12,1195.98
14869.91,12608.16,783.68,1195.31
14920.72,12604.07,783.42,1194.92
14890.73,12602.48,783.32,1194.77
14922.71,12628.92,784.97,1197.28
14892.29,12597.67,783.02,1194.31
14864.8,12636.05,785.41,1197.95
14873.68,12606.97,783.6,1195.19
14869.58,12594.39,782.82,1194.0
14823.1,12563.83,780.92,1191.1
14770.92,12563.98,780.93,1191.12
14740.51,12539.5,779.41,1188.8
14672.08,12488.27,776.22,1183.94
14627.69,12482.21,775.85,1183.37
14527.81,12415.01,771.67,1177.0
14391.26,12381.36,769.58,1173.81
14338.8,12343.27,767.21,1170.19
14239.4,12303.05,764.71,1166.38
14200.04,12241.31,760.87,1160.53
14083.65,12189.84,757.67,1155.65
13982.7,12146.25,754.97,1151.52
13991.81,12123.72,753.56,1149.38
13852.44,12077.43,750.69,1144.99
13790.46,12076.28,750.62,1144.88
13743.96,12027.32,747.57,1140.24
13718.84,11988.89,745.18,1136.6
13666.56,11967.85,743.88,1134.6
13607.39,11943.99,742.39,1132.34
13583.46,11973.89,744.25,1135.18
13561.51,11948.86,742.7,1132.8
13568.19,11954.8,743.07,1133.37
13568.49,11952.55,742.93,1133.15
13535.41,11930.46,741.55,1131.06
13530.85,11943.93,742.39,1132.33
13500.08,11924.2,741.16,1130.46
13535.03,11920.53,740.94,1130.12
13530.71,11919.53,740.87,1130.02
13491.37,11901.49,739.75,1128.31
13415.51,11902.72,739.83,1128.43
13457.04,11870.57,737.83,1125.38
13346.53,11854.63,736.84,1123.87
13300.26,11801.4,733.53,1118.82
13244.33,11768.99,731.52,1115.75
13157.04,11746.6,730.12,1113.63
13049.06,11655.45,724.46,1104.99
12867.95,11604.47,721.29,1100.15
12663.79,11506.21,715.18,1090.84
12451.31,11359.57,706.07,1076.94
12334.45,11309.87,702.98,1072.22
12284.14,11273.13,700.7,1068.74
12302.54,11258.45,699.78,1067.35
12279.39,11269.87,700.49,1068.43
12324.38,11269.26,700.45,1068.37
12274.88,11281.48,701.21,1069.53
12142.24,10987.04,682.91,1041.62
11967.88,10705.2,665.39,1014.9
11776.28,10414.25,647.31,987.31
11624.18,10115.44,628.74,958.99
