tick,uranium,lignite,hard coal,natural gas,oil,biomass,co2
113,0.9,1.8,11.88,33.84,60.0,20.7,87
114,0.9,1.8,11.88,33.84,60.0,20.7,87
115,0.9,1.8,11.88,33.84,60.0,20.7,87
116,0.9,1.8,11.88,33.84,60.0,20.7,87
117,0.9,1.8,11.88,33.84,60.0,20.7,87
118,0.9,1.8,11.88,33.84,60.0,20.7,87
119,0.9,1.8,11.88,33.84,60.0,20.7,87
120,0.9,1.8,11.88,33.84,60.0,20.7,87
121,0.9,1.8,11.88,33.84,60.0,20.7,87
122,0.9,1.8,11.88,33.84,60.0,20.7,87
123,0.9,1.8,11.88,33.84,60.0,20.7,87
124,0.9,1.8,11.88,33.84,60.0,20.7,87
125,0.9,1.8,11.88,33.84,60.0,20.7,87
126,0.9,1.8,11.88,33.84,60.0,20.7,87
127,0.9,1.8,11.88,33.84,60.0,20.7,87
128,0.9,1.8,11.88,33.84,60.0,20.7,87
129,0.9,1.8,11.88,33.84,60.0,20.7,87
130,0.9,1.8,11.88,33.84,60.0,20.7,87
131,0.9,1.8,11.88,33.84,60.0,20.7,87
132,0.9,1.8,11.88,33.84,60.0,20.7,87
133,0.9,1.8,11.88,33.84,60.0,20.7,87
134,0.9,1.8,11.88,33.84,60.0,20.7,87
135,0.9,1.8,11.88,33.84,60.0,20.7,87
136,0.9,1.8,11.88,33.84,60.0,20.7,87
137,0.9,1.8,11.88,33.84,60.0,20.7,87
138,0.9,1.8,11.88,33.84,60.0,20.7,87
139,0.9,1.8,11.88,33.84,60.0,20.7,87
140,0.9,1.8,11.88,33.84,60.0,20.7,87
141,0.9,1.8,11.88,33.84,60.0,20.7,87
142,0.9,1.8,11.88,33.84,60.0,20.7,87
143,0.9,1.8,11.88,33.84,60.0,20.7,87
144,0.9,1.8,11.88,33.84,60.0,20.7,87
145,0.9,1.8,11.88,33.84,60.0,20.7,87
146,0.9,1.8,11.88,33.84,60.0,20.7,87
147,0.9,1.8,11.88,33.84,60.0,20.7,87
148,0.9,1.8,11.88,33.84,60.0,20.7,87
149,0.9,1.8,11.88,33.84,60.0,20.7,87
150,0.9,1.8,11.88,33.84,60.0,20.7,87
151,0.9,1.8,11.88,33.84,60.0,20.7,87
152,0.9,1.8,11.88,33.84,60.0,20.7,87
153,0.9,1.8,11.88,33.84,60.0,20.7,87
154,0.9,1.8,11.88,33.84,60.0,20.7,87
155,0.9,1.8,11.88,33.84,60.0,20.7,87
