tick,Elec_x,Iron_steel
354,274.9,0
355,280.2,0
356,284.6,0
357,287.5,0
358,289.6,0
359,290.3,0
360,289.1,0
361,288.1,0
362,287.5,0
363,287.5,0
364,285.4,0
365,282.1,0
366,278.1,0
367,275.6,0
368,270.6,0
369,264.1,0
370,259.1,0
371,255.6,0
372,253.4,0
373,251.2,0
374,248.7,0
375,245.3,0
376,246,0
377,243.2,0
378,238.7,0
379,234.5,0
380,229.3,0
381,224.9,0
382,221.3,0
383,218.3,0
384,214.9,0
385,211.6,0
386,209.1,0
387,206.4,0
388,204.1,0
389,201.9,0
390,200.4,0
391,200.1,0
392,197.9,0
393,196.9,0
394,196.5,0
395,197.7,0
396,198,0
397,198.2,0
398,199.5,0
399,200,0
400,200.9,0
401,200.9,0
402,202.4,0
403,203,0
404,208.5,0
405,210.6,0
406,213.3,0
407,217.5,0
408,224.4,0
409,232.5,0
410,239.6,0
411,244.9,0
412,252.3,0
413,257.6,0
414,262.6,0
415,267.2,0
416,270.7,0
417,271.9,0
418,273.6,0
419,275,0
420,274.5,0
421,274.9,0
422,277,0
423,278.7,0
424,280.4,0
425,280.4,0
426,281.9,0
427,283.4,0
428,284.7,0
429,285.5,0
430,287.7,0
431,287.2,0
432,287.1,0
433,285.9,0
434,285.8,0
435,285.6,0
436,285.2,0
437,283,0
438,281.4,0
439,278.5,0
440,279.1,0
441,278.3,0
442,278.4,0
443,277.6,0
444,278.2,0
445,277.3,0
446,277.1,0
447,276.7,0
448,277.6,0
449,278.7,0
450,282.6,0
451,286.2,0
452,289.8,0
453,291.7,0
454,292.3,0
455,292.8,0
456,292,0
457,291.6,0
458,291,0
459,289.6,0
460,287.8,0
461,284.9,0
462,282.9,0
463,281.1,0
464,275.1,0
465,267.9,0
466,265.1,0
467,260.8,0
468,257.7,0
469,254.6,0
470,250.9,0
471,247.5,0
472,247.6,0
473,244.2,0
474,239.2,0
475,234.3,0
476,229.5,0
477,226,0
478,221.5,0
479,217.5,0
480,214.9,0
481,212.4,0
482,210.2,0
483,207.2,0
484,204.2,0
485,203.2,0
486,201.4,0
487,200.1,0
488,198.3,0
489,197.1,0
490,197.9,0
491,198,0
492,197.6,0
493,197.6,0
494,198.3,0
495,198.3,0
496,199.7,0
497,199.9,0
498,201.6,0
499,202.7,0
500,206,0
501,206.5,0
502,208.5,0
503,209.2,0
504,214.7,0
505,220.3,0
506,225.7,0
507,230.4,0
508,237.3,0
509,242.2,0
510,246.6,0
511,250.7,7.412.364.386
512,254.5,1.084.433.945
513,256.3,1.518.745.229
514,257,1.750.186.526
515,257.3,2.065.291.188
516,258,2.131.046.217
517,260.1,2.236.240.593
518,261.2,2.448.725.486
519,262.5,2.350.275.215
520,263.8,2.307.623.305
521,265.7,2.391.263.884
522,267.2,2.258.090.584
523,269.8,2.201.677.052
524,271.3,2.213.524.805
525,273.7,2.294.795.834
526,275.8,2.368.046.845
527,276.2,2.445.307.865
528,273.6,2.451.596.288
529,274,2.447.267.301
530,273.6,2.611.928.283
531,272.3,2.513.705.854
532,270.7,2.530.680.039
533,268.8,2.541.548.074
534,266.9,2.468.251.494
535,264.3,2.401.607.884
536,263.2,2.107.191.222
537,263.1,215.335.189
538,262.3,1.875.636.003
539,260.7,1.550.483.536
540,260.9,1.418.722.852
541,260.2,9.280.891.737
