,Iron_steel,Olefin,Methanol,Ammonia
10337,24491.5,80184.74,4983.98,7601.85
10338,24276.09,79858.24,4963.69,7570.9
10339,24148.34,79639.82,4950.11,7550.19
10340,24010.62,79260.19,4926.51,7514.2
10341,23980.34,79004.14,4910.6,7489.93
10342,23755.51,78959.55,4907.83,7485.7
10343,23663.8,78615.44,4886.44,7453.08
10344,23613.1,78642.67,4888.13,7455.66
10345,23582.47,78263.38,4864.56,7419.7
10346,23487.43,78201.46,4860.71,7413.83
10347,23458.75,78119.66,4855.62,7406.08
10348,23441.81,78098.26,4854.29,7404.05
10349,23381.27,78124.11,4855.9,7406.5
10350,23486.35,78056.16,4851.68,7400.05
10351,23437.67,78165.79,4858.49,7410.45
10352,23389.31,78086.78,4853.58,7402.96
10353,23362.75,78085.27,4853.49,7402.81
10354,23409.12,78082.66,4853.32,7402.57
10355,23309.61,78062.92,4852.1,7400.7
10356,23321.57,78073.96,4852.78,7401.74
10357,23240.93,77798.05,4835.63,7375.58
10358,23248.58,77659.67,4827.03,7362.47
10359,23095.69,77510.02,4817.73,7348.28
10360,22947.1,77216.17,4799.47,7320.42
10361,22837.02,76929.01,4781.62,7293.2
10362,22654.99,76687.25,4766.59,7270.28
10363,22379.65,76365.36,4746.58,7239.76
10364,22271.34,75840.68,4713.97,7190.02
10365,21895.89,75213.58,4674.99,7130.57
10366,21484.64,74382.26,4623.32,7051.75
10367,21293.69,74109.17,4606.35,7025.86
10368,21236.44,73671.73,4579.16,6984.39
10369,21237.89,73737.57,4583.25,6990.63
10370,21226.22,73677.69,4579.53,6984.96
10371,21212.02,73750.47,4584.05,6991.86
10372,21205.18,73878.66,4592.02,7004.01
10373,20986.41,72043.07,4477.93,6829.99
10374,20684.95,70223.79,4364.85,6657.51
10375,20305.78,68114.35,4233.73,6457.53
10376,20004.98,66253.71,4118.08,6281.13
10377,19825.54,64850.73,4030.88,6148.12
10378,19607.76,63772.64,3963.87,6045.92
10379,19444.45,62894.07,3909.26,5962.62
10380,19382.52,62117.77,3861.01,5889.03
10381,19274.5,61480.86,3821.42,5828.65
10382,19245.74,61226.44,3805.6,5804.53
10383,19106.39,60742.07,3775.5,5758.61
10384,19098.32,60582.77,3765.6,5743.5
10385,19081.69,60276.37,3746.55,5714.46
10386,19112.86,60387.06,3753.43,5724.95
10387,19041.46,60331.31,3749.97,5719.66
10388,19096.31,60450.52,3757.38,5730.97
10389,19098.33,60472.29,3758.73,5733.03
10390,19171.82,60709.23,3773.46,5755.49
10391,19152.79,60871.4,3783.54,5770.87
10392,19225.25,60961.54,3789.14,5779.41
10393,19222.69,61269.54,3808.28,5808.61
10394,19259.48,61328.77,3811.97,5814.23
10395,19293.35,61452.98,3819.69,5826.0
10396,19242.5,61536.37,3824.87,5833.91
10397,19318.08,61778.78,3839.94,5856.89
10398,19334.29,61715.9,3836.03,5850.93
10399,19246.85,61768.05,3839.27,5855.87
10400,19295.98,61976.51,3852.23,5875.64
10401,19390.94,61952.77,3850.75,5873.38
10402,19345.13,62043.57,3856.39,5881.99
10403,19365.02,61982.24,3852.58,5876.18
10404,19395.38,62238.88,3868.53,5900.51
10405,19384.99,62268.82,3870.39,5903.35
10406,19447.18,62244.38,3868.88,5901.03
10407,19390.44,62300.96,3872.39,5906.4
10408,19461.22,62311.49,3873.05,5907.39
10409,19407.42,62309.65,3872.93,5907.22
10410,19424.91,62443.95,3881.28,5919.95
10411,19352.53,62363.99,3876.31,5912.37
10412,19380.78,62494.39,3884.42,5924.73
10413,19417.09,62504.65,3885.05,5925.71
10414,19411.59,62392.99,3878.11,5915.12
10415,19382.67,62375.85,3877.05,5913.49
10416,19415.29,62367.06,3876.5,5912.66
10417,19363.47,62281.64,3871.19,5904.56
10418,19419.95,62129.27,3861.72,5890.12
10419,19356.15,62079.8,3858.65,5885.43
10420,19343.0,61890.52,3846.88,5867.48
10421,19279.16,61875.54,3845.95,5866.06
10422,19323.71,61566.65,3826.75,5836.78
10423,19261.94,61262.06,3807.82,5807.9
10424,19182.45,61160.45,3801.5,5798.27
10425,19118.65,60871.01,3783.51,5770.83
10426,19075.75,60538.86,3762.87,5739.34
10427,19060.3,60155.59,3739.04,5703.0
10428,18984.64,59583.68,3703.5,5648.79
10429,18878.62,59473.21,3696.63,5638.31
10430,18878.84,58996.22,3666.98,5593.09
10431,18861.37,58699.26,3648.52,5564.94
10432,18727.84,58392.51,3629.46,5535.86
10433,18686.65,58094.17,3610.91,5507.57
10434,18633.08,57863.54,3596.58,5485.71
10435,18698.51,57471.21,3572.19,5448.51
10436,18590.34,57433.31,3569.84,5444.92
10437,18627.41,57363.29,3565.49,5438.28
10438,18573.3,57255.23,3558.77,5428.04
10439,18541.19,57177.94,3553.97,5420.71
10440,18543.76,57194.9,3555.02,5422.32
10441,18535.37,57037.08,3545.21,5407.36
10442,18492.88,57111.13,3549.81,5414.38
10443,18548.14,57065.18,3546.96,5410.02
10444,18597.38,56958.03,3540.3,5399.86
10445,18519.94,57149.32,3552.19,5418.0
10446,18514.16,57037.0,3545.2,5407.35
10447,18547.01,56958.28,3540.31,5399.89
10448,18503.3,56975.35,3541.37,5401.5
10449,18516.5,56969.56,3541.01,5400.96
10450,18510.18,57032.36,3544.92,5406.91
10451,18494.59,57143.8,3551.84,5417.47
10452,18534.06,57006.56,3543.31,5404.46
10453,18551.07,56914.49,3537.59,5395.73
10454,18514.67,57001.88,3543.02,5404.02
10455,18528.06,57038.64,3545.31,5407.5
10456,18579.72,56977.19,3541.49,5401.68
10457,18558.43,56873.99,3535.07,5391.9
10458,18499.16,56951.41,3539.88,5399.23
10459,18552.01,57107.22,3549.57,5414.01
10460,18549.59,56890.08,3536.07,5393.42
10461,18583.03,56855.7,3533.94,5390.16
10462,18587.31,56945.49,3539.52,5398.67
10463,18538.74,56971.75,3541.15,5401.16
10464,18480.54,57011.98,3543.65,5404.98
10465,18517.82,56875.25,3535.15,5392.01
10466,18528.89,56926.08,3538.31,5396.83
10467,18533.58,56961.2,3540.49,5400.16
10468,18592.24,56966.24,3540.81,5400.64
10469,18579.83,56941.9,3539.29,5398.33
10470,18532.71,56935.3,3538.88,5397.71
10471,18559.04,56897.78,3536.55,5394.15
10472,18554.09,56946.92,3539.61,5398.81
10473,18524.96,56940.57,3539.21,5398.21
10474,18576.66,56877.01,3535.26,5392.18
10475,18498.33,56858.81,3534.13,5390.46
10476,18474.52,56926.35,3538.33,5396.86
10477,18545.02,56947.53,3539.64,5398.87
10478,18536.22,57014.3,3543.79,5405.2
10479,18536.7,56845.08,3533.28,5389.15
10480,18569.44,56996.94,3542.71,5403.55
10481,18526.24,56941.52,3539.27,5398.3
10482,18518.33,57008.54,3543.44,5404.65
10483,18512.12,56894.03,3536.32,5393.79
10484,18521.9,56960.96,3540.48,5400.14
10485,18514.62,57002.71,3543.07,5404.1
10486,18555.6,56967.86,3540.91,5400.79
10487,18550.01,56957.15,3540.24,5399.78
10488,18538.72,56934.61,3538.84,5397.64
10489,18500.76,56831.36,3532.42,5387.85
10490,18546.14,56992.71,3542.45,5403.15
10491,18576.2,56880.53,3535.48,5392.52
10492,18532.48,56840.12,3532.97,5388.68
10493,18546.51,57178.09,3553.97,5420.72
10494,18545.78,56958.48,3540.32,5399.91
10495,18515.14,57023.53,3544.37,5406.07
10496,18528.15,56952.28,3539.94,5399.32
10497,18496.9,57002.3,3543.05,5404.06
10498,18506.13,56990.69,3542.33,5402.96
10499,18557.47,57032.63,3544.93,5406.93
10500,18583.55,57030.21,3544.78,5406.71
10501,18518.57,56783.0,3529.42,5383.27
10502,18574.5,56892.61,3536.23,5393.66
10503,18531.14,56914.12,3537.57,5395.7
10504,18543.21,56890.31,3536.09,5393.44
10505,18519.14,56948.45,3539.7,5398.95
10506,18503.51,56890.76,3536.12,5393.49
10507,18490.36,57006.65,3543.32,5404.47
10508,18522.01,56997.9,3542.77,5403.64
10509,18509.14,56797.19,3530.3,5384.61
10510,18553.02,56909.13,3537.26,5395.23
10511,18532.9,57003.28,3543.11,5404.15
10512,18534.82,56928.65,3538.47,5397.08
10513,18463.49,56876.31,3535.22,5392.12
10514,18531.78,56872.58,3534.98,5391.76
10515,18548.2,56920.5,3537.96,5396.3
10516,18515.24,56904.4,3536.96,5394.78
10517,18539.07,56948.9,3539.73,5399.0
10518,18558.2,56862.6,3534.36,5390.82
10519,18519.87,57148.36,3552.13,5417.91
10520,18534.79,57004.68,3543.2,5404.29
10521,18523.37,57015.52,3543.87,5405.31
10522,18522.83,57025.52,3544.49,5406.26
10523,18495.13,56966.31,3540.81,5400.65
10524,18542.92,57009.25,3543.48,5404.72
10525,18491.93,56865.3,3534.53,5391.07
10526,18488.54,57081.97,3548.0,5411.61
10527,18532.79,56898.5,3536.6,5394.22
10528,18560.47,57010.54,3543.56,5404.84
10529,18478.81,56897.31,3536.52,5394.11
10530,18479.26,57018.97,3544.08,5405.64
10531,18566.69,56980.36,3541.68,5401.98
10532,18519.93,57068.44,3547.16,5410.33
10533,18543.52,56912.32,3537.46,5395.53
10534,18548.03,56903.17,3536.89,5394.66
10535,18587.46,56948.45,3539.7,5398.95
