,Iron_steel,Olefin,Methanol,Ammonia
144,51458.44,165169.38,10266.31,15658.76
145,51471.33,165432.06,10282.63,15683.66
146,51475.79,164917.71,10250.66,15634.9
147,51459.49,165218.51,10269.36,15663.41
148,51434.18,165086.58,10261.16,15650.91
149,51430.21,165258.04,10271.82,15667.16
150,51341.22,165166.21,10266.11,15658.46
151,51267.42,164686.19,10236.27,15612.95
152,51183.79,164622.29,10232.3,15606.89
153,51037.93,164446.38,10221.37,15590.21
154,50778.29,163799.23,10181.14,15528.86
155,50523.2,163867.46,10185.38,15535.33
156,50305.19,163008.22,10131.98,15453.87
157,50148.73,162496.54,10100.17,15405.36
158,49867.79,161993.32,10068.89,15357.65
159,49586.39,161381.51,10030.87,15299.65
160,49249.96,160733.96,9990.62,15238.26
161,49111.41,160641.92,9984.9,15229.54
162,48637.24,159591.25,9919.59,15129.93
163,48367.26,158920.86,9877.92,15066.37
164,48038.65,158515.35,9852.72,15027.93
165,47865.93,158028.85,9822.48,14981.8
166,47611.49,157691.38,9801.5,14949.81
167,47314.26,157304.13,9777.43,14913.1
168,47200.91,156988.36,9757.8,14883.16
169,47168.17,157029.68,9760.37,14887.08
170,46949.63,156650.04,9736.78,14851.09
171,46964.66,156351.17,9718.2,14822.75
172,46769.81,156421.07,9722.54,14829.38
173,46863.36,156174.69,9707.23,14806.02
174,46849.95,156269.47,9713.12,14815.01
175,46929.77,156271.36,9713.24,14815.19
176,46820.38,156271.42,9713.24,14815.19
177,46686.76,156126.67,9704.24,14801.47
178,46620.97,156129.33,9704.41,14801.72
179,46757.06,156052.44,9699.63,14794.43
180,46575.52,155836.09,9686.18,14773.92
181,46506.79,155634.65,9673.66,14754.82
182,46325.93,155613.59,9672.35,14752.83
183,46194.81,154974.87,9632.65,14692.27
184,45930.97,154580.21,9608.12,14654.86
185,45600.72,153750.83,9556.57,14576.23
186,45221.25,153444.15,9537.51,14547.16
187,44834.23,152481.68,9477.69,14455.91
188,44487.14,151651.11,9426.06,14377.17
189,43722.94,150391.33,9347.76,14257.74
190,42853.22,148679.91,9241.38,14095.49
191,42622.4,148137.26,9207.65,14044.04
192,42531.23,148155.07,9208.76,14045.73
193,42705.97,148311.14,9218.46,14060.52
194,42605.79,148240.9,9214.1,14053.87
195,42638.34,148094.02,9204.97,14039.94
196,42701.83,147843.37,9189.39,14016.18
197,42849.47,148441.34,9226.55,14072.87
198,42830.49,148827.44,9250.55,14109.47
199,43040.01,148560.57,9233.96,14084.17
200,43043.18,148895.72,9254.8,14115.95
201,43114.82,148840.57,9251.37,14110.72
202,42849.28,148692.76,9242.18,14096.7
203,42777.59,148424.02,9225.48,14071.23
204,42704.32,148452.72,9227.26,14073.95
205,42567.86,148300.41,9217.79,14059.51
206,42611.68,148143.15,9208.02,14044.6
207,42545.97,147867.85,9190.91,14018.5
208,42640.62,148323.56,9219.23,14061.7
