industry_demand,allBidQuantity,allCurrentSOC,price
22.34,0.0,1112.8700000000003,25.0
22.33,0.0,1090.5400000000004,27.56
22.29,0.0,1068.2500000000005,24.57
22.22,0.0,1046.0300000000004,27.04
22.05,0.0,1023.9800000000005,24.46
21.81,0.0,1002.1700000000005,24.91
21.66,0.0,980.5100000000006,24.31
21.49,0.0,959.0200000000006,24.37
21.42,0.0,937.6000000000006,24.2
21.15,0.0,916.4500000000006,23.87
21.1,0.0,895.3500000000006,24.57
20.96,0.0,874.3900000000006,23.87
20.81,0.0,853.5800000000006,24.27
20.62,0.0,832.9600000000006,23.87
20.82,0.0,812.1400000000006,24.31
20.81,0.0,791.3300000000006,24.31
20.92,0.0,770.4100000000007,24.32
20.94,0.0,749.4700000000006,24.31
21.12,0.0,728.3500000000006,24.57
21.37,0.0,706.9800000000006,24.65
21.83,0.0,685.1500000000005,24.88
22.39,0.0,662.7600000000006,24.95
22.97,0.0,639.7900000000005,26.42
23.12,0.0,616.6700000000005,25.18
23.47,0.0,593.2000000000005,25.3
23.65,0.0,569.5500000000005,25.18
23.86,0.0,545.6900000000005,25.18
23.74,0.0,521.9500000000005,25.12
23.67,0.0,498.2800000000005,25.12
23.63,0.0,474.6500000000005,25.0
23.55,0.0,451.1000000000005,25.17
23.33,0.0,427.7700000000005,24.65
23.11,0.0,404.6600000000005,24.57
22.95,0.0,381.7100000000005,24.6
22.89,0.0,358.8200000000005,24.68
22.51,0.0,336.3100000000005,23.87
22.14,0.0,314.1700000000005,24.57
21.77,0.0,292.40000000000055,23.71
21.87,0.0,270.53000000000054,24.95
21.75,0.0,248.78000000000054,23.68
21.57,0.0,227.21000000000055,24.57
21.65,0.0,205.56000000000054,23.73
22.01,0.0,183.55000000000055,27.39
21.74,0.0,161.81000000000054,23.68
21.3,0.0,140.51000000000053,24.57
21.01,0.0,119.50000000000053,21.74
20.7,0.0,98.80000000000052,24.46
20.51,0.0,78.29000000000052,19.63
20.14,0.0,58.15000000000052,23.87
19.67,0.0,38.480000000000516,19.39
19.54,100.0,102.29000000000063,23.68
19.17,100.0,183.12000000000063,20.58
18.94,100.0,264.18000000000063,22.16
18.78,100.0,345.40000000000066,19.38
18.52,100.0,426.8800000000007,22.11
18.42,100.0,508.46000000000066,19.33
18.3,100.0,590.1600000000007,22.06
18.11,100.0,672.0500000000006,19.28
17.97,100.0,754.0800000000006,19.28
17.85,100.0,836.2300000000006,21.74
17.83,100.0,918.4000000000005,18.94
17.84,100.0,1000.5600000000005,22.0
17.83,100.0,1082.7300000000005,18.94
17.84,100.0,1164.8900000000006,23.21
17.84,100.0,1247.0500000000006,19.33
17.93,100.0,1329.1200000000006,23.32
18.19,100.0,1410.9300000000005,23.66
18.39,100.0,1492.5400000000004,23.73
