,industry_demand,optimalBidamount,elecCons,elecStartUpCost,comprCons,prodH2,elecToPlantUse_kg,elecToStorage_kg,storageToPlantUse_kg,currentSOC,price,isRunning,isStarted
56,184.8,61.594,61.594,0.0,0.0,184.8,184.8,0.0,0.0,4000.0,29.17,1.0,0.0
57,183.9,61.294,61.294,0.0,0.0,183.9,183.9,0.0,0.0,4000.0,29.54,1.0,0.0
58,183.5,61.161,61.161,0.0,0.0,183.5,183.5,0.0,0.0,4000.0,29.54,1.0,0.0
59,182.8,60.927,60.927,0.0,0.0,182.8,182.8,0.0,0.0,4000.0,29.54,1.0,0.0
60,184.9,10.0,10.0,0.0,0.0,30.003,30.003,0.0,154.897,3845.103,29.85,1.0,0.0
61,185.5,10.0,10.0,0.0,0.0,30.003,30.003,0.0,155.497,3689.606,29.85,1.0,0.0
62,186.1,10.0,10.0,0.0,0.0,30.003,30.003,0.0,156.097,3533.509,29.85,1.0,0.0
63,186.7,10.0,10.0,0.0,0.0,30.003,30.003,0.0,156.697,3376.812,29.85,1.0,0.0
64,189.8,10.0,10.0,0.0,0.0,30.003,30.003,0.0,159.797,3217.015,29.98,1.0,0.0
65,193.6,10.0,10.0,0.0,0.0,30.003,30.003,0.0,163.597,3053.418,29.98,1.0,0.0
66,198.7,10.0,10.0,0.0,0.0,30.003,30.003,0.0,168.697,2884.721,29.98,1.0,0.0
67,203.7,10.0,10.0,0.0,0.0,30.003,30.003,0.0,173.697,2711.024,30.76,1.0,0.0
68,208.0,10.0,10.0,0.0,0.0,30.003,30.003,0.0,177.997,2533.027,31.58,1.0,0.0
69,210.3,10.0,10.0,0.0,0.0,30.003,30.003,0.0,180.297,2352.73,31.58,1.0,0.0
70,212.2,10.0,10.0,0.0,0.0,30.003,30.003,0.0,182.197,2170.533,32.16,1.0,0.0
71,212.8,10.0,10.0,0.0,0.0,30.003,30.003,0.0,182.797,1987.736,32.16,1.0,0.0
72,214.2,10.0,10.0,0.0,0.0,30.003,30.003,0.0,184.197,1803.539,32.16,1.0,0.0
73,213.7,10.0,10.0,0.0,0.0,30.003,30.003,0.0,183.697,1619.842,31.58,1.0,0.0
74,213.9,10.0,10.0,0.0,0.0,30.003,30.003,0.0,183.897,1435.945,31.58,1.0,0.0
75,211.8,10.0,10.0,0.0,0.0,30.003,30.003,0.0,181.797,1254.148,30.76,1.0,0.0
76,211.7,10.0,10.0,0.0,0.0,30.003,30.003,0.0,181.697,1072.451,30.76,1.0,0.0
77,209.1,10.0,10.0,0.0,0.0,30.003,30.003,0.0,179.097,893.354,29.98,1.0,0.0
78,207.5,10.0,10.0,0.0,0.0,30.003,30.003,0.0,177.497,715.857,29.98,1.0,0.0
79,204.6,10.0,10.0,0.0,0.0,30.003,30.003,0.0,174.597,541.26,29.98,1.0,0.0
80,204.2,10.0,10.0,0.0,0.0,30.003,30.003,0.0,174.197,367.063,29.98,1.0,0.0
81,201.4,10.0,10.0,0.0,0.0,30.003,30.003,0.0,171.397,195.666,29.85,1.0,0.0
82,198.1,10.0,10.0,0.0,0.0,30.003,30.003,0.0,168.097,27.569,29.56,1.0,0.0
83,196.1,56.171,56.171,0.0,0.0,168.531,168.531,0.0,27.569,0.0,29.54,1.0,0.0
84,195.9,65.293,65.293,0.0,0.0,195.9,195.9,0.0,0.0,0.0,29.17,1.0,0.0
85,195.2,65.06,65.06,0.0,0.0,195.2,195.2,0.0,0.0,0.0,29.17,1.0,0.0
86,193.9,64.627,64.627,0.0,0.0,193.9,193.9,0.0,0.0,0.0,29.17,1.0,0.0
87,193.6,120.38,120.12,0.0,0.26,360.397,193.6,166.797,0.0,166.797,28.57,1.0,0.0
88,196.8,10.0,10.0,0.0,0.0,30.003,30.003,0.0,166.797,0.0,29.17,1.0,0.0
89,194.4,64.794,64.794,0.0,0.0,194.4,194.4,0.0,0.0,0.0,28.57,1.0,0.0
90,191.4,63.794,63.794,0.0,0.0,191.4,191.4,0.0,0.0,0.0,28.49,1.0,0.0
91,188.8,62.927,62.927,0.0,0.0,188.8,188.8,0.0,0.0,0.0,27.87,1.0,0.0
92,184.8,61.594,61.594,0.0,0.0,184.8,184.8,0.0,0.0,0.0,27.21,1.0,0.0
93,181.2,60.394,60.394,0.0,0.0,181.2,181.2,0.0,0.0,0.0,27.21,1.0,0.0
94,177.5,59.161,59.161,0.0,0.0,177.5,177.5,0.0,0.0,0.0,26.64,1.0,0.0
95,174.5,58.161,58.161,0.0,0.0,174.5,174.5,0.0,0.0,0.0,26.57,1.0,0.0
96,171.1,57.028,57.028,0.0,0.0,171.1,171.1,0.0,0.0,0.0,26.17,1.0,0.0
97,166.9,55.628,55.628,0.0,0.0,166.9,166.9,0.0,0.0,0.0,25.91,1.0,0.0
98,165.1,55.028,55.028,0.0,0.0,165.1,165.1,0.0,0.0,0.0,25.52,1.0,0.0
99,162.9,54.295,54.295,0.0,0.0,162.9,162.9,0.0,0.0,0.0,25.52,1.0,0.0
100,161.3,53.761,53.761,0.0,0.0,161.3,161.3,0.0,0.0,0.0,25.15,1.0,0.0
101,158.8,52.928,52.928,0.0,0.0,158.8,158.8,0.0,0.0,0.0,24.62,1.0,0.0
102,158.1,52.695,52.695,0.0,0.0,158.1,158.1,0.0,0.0,0.0,23.94,1.0,0.0
103,157.3,52.428,52.428,0.0,0.0,157.3,157.3,0.0,0.0,0.0,23.89,1.0,0.0
104,156.1,52.028,52.028,0.0,0.0,156.1,156.1,0.0,0.0,0.0,23.78,1.0,0.0
105,155.4,51.795,51.795,0.0,0.0,155.4,155.4,0.0,0.0,0.0,23.78,1.0,0.0
106,154.8,51.595,51.595,0.0,0.0,154.8,154.8,0.0,0.0,0.0,23.78,1.0,0.0
107,154.6,51.528,51.528,0.0,0.0,154.6,154.6,0.0,0.0,0.0,23.51,1.0,0.0
108,154.6,51.528,51.528,0.0,0.0,154.6,154.6,0.0,0.0,0.0,23.51,1.0,0.0
109,154.3,51.428,51.428,0.0,0.0,154.3,154.3,0.0,0.0,0.0,23.51,1.0,0.0
110,154.2,51.395,51.395,0.0,0.0,154.2,154.2,0.0,0.0,0.0,23.51,1.0,0.0
111,154.8,51.595,51.595,0.0,0.0,154.8,154.8,0.0,0.0,0.0,23.51,1.0,0.0
112,156.1,52.028,52.028,0.0,0.0,156.1,156.1,0.0,0.0,0.0,23.51,1.0,0.0
113,156.6,301.158,300.0,0.0,1.158,900.09,156.6,743.49,0.0,743.49,23.46,1.0,0.0
114,157.4,52.461,52.461,0.0,0.0,157.4,157.4,0.0,0.0,743.49,23.46,1.0,0.0
115,158.3,153.57,153.101,0.0,0.469,459.35,158.3,301.05,0.0,1044.54,23.46,1.0,0.0
116,159.6,301.154,300.0,0.0,1.154,900.09,159.6,740.49,0.0,1785.03,23.46,1.0,0.0
117,159.6,301.154,300.0,0.0,1.154,900.09,159.6,740.49,0.0,2525.52,23.46,1.0,0.0
118,160.6,301.152,300.0,0.0,1.152,900.09,160.6,739.49,0.0,3265.01,23.46,1.0,0.0
119,161.8,53.928,53.928,0.0,0.0,161.8,161.8,0.0,0.0,3265.01,23.46,1.0,0.0
120,162.8,54.261,54.261,0.0,0.0,162.8,162.8,0.0,0.0,3265.01,23.46,1.0,0.0
121,163.3,54.428,54.428,0.0,0.0,163.3,163.3,0.0,0.0,3265.01,23.46,1.0,0.0
122,165.1,301.145,300.0,0.0,1.145,900.09,165.1,734.99,0.0,4000.0,23.46,1.0,0.0
123,168.0,55.994,55.994,0.0,0.0,168.0,168.0,0.0,0.0,4000.0,23.51,1.0,0.0
124,172.3,57.428,57.428,0.0,0.0,172.3,172.3,0.0,0.0,4000.0,23.51,1.0,0.0
125,174.9,58.294,58.294,0.0,0.0,174.9,174.9,0.0,0.0,4000.0,23.51,1.0,0.0
126,178.1,59.361,59.361,0.0,0.0,178.1,178.1,0.0,0.0,4000.0,23.78,1.0,0.0
127,183.3,61.094,61.094,0.0,0.0,183.3,183.3,0.0,0.0,4000.0,23.89,1.0,0.0
128,187.7,62.56,62.56,0.0,0.0,187.7,187.7,0.0,0.0,4000.0,23.94,1.0,0.0
129,191.5,63.827,63.827,0.0,0.0,191.5,191.5,0.0,0.0,4000.0,24.62,1.0,0.0
130,194.1,64.694,64.694,0.0,0.0,194.1,194.1,0.0,0.0,4000.0,24.62,1.0,0.0
131,198.4,66.127,66.127,0.0,0.0,198.4,198.4,0.0,0.0,4000.0,25.03,1.0,0.0
132,204.0,67.993,67.993,0.0,0.0,204.0,204.0,0.0,0.0,4000.0,25.52,1.0,0.0
133,207.3,69.093,69.093,0.0,0.0,207.3,207.3,0.0,0.0,4000.0,25.52,1.0,0.0
134,211.2,70.393,70.393,0.0,0.0,211.2,211.2,0.0,0.0,4000.0,25.59,1.0,0.0
135,213.9,71.293,71.293,0.0,0.0,213.9,213.9,0.0,0.0,4000.0,25.59,1.0,0.0
136,217.4,72.459,72.459,0.0,0.0,217.4,217.4,0.0,0.0,4000.0,25.91,1.0,0.0
137,218.7,72.893,72.893,0.0,0.0,218.7,218.7,0.0,0.0,4000.0,25.91,1.0,0.0
138,220.3,73.426,73.426,0.0,0.0,220.3,220.3,0.0,0.0,4000.0,25.91,1.0,0.0
139,221.5,73.826,73.826,0.0,0.0,221.5,221.5,0.0,0.0,4000.0,25.91,1.0,0.0
140,224.1,74.693,74.693,0.0,0.0,224.1,224.1,0.0,0.0,4000.0,26.04,1.0,0.0
141,226.5,75.492,75.492,0.0,0.0,226.5,226.5,0.0,0.0,4000.0,26.17,1.0,0.0
142,228.9,76.292,76.292,0.0,0.0,228.9,228.9,0.0,0.0,4000.0,26.17,1.0,0.0
143,229.8,10.0,10.0,0.0,0.0,30.003,30.003,0.0,199.797,3800.203,26.57,1.0,0.0
144,229.8,76.592,76.592,0.0,0.0,229.8,229.8,0.0,0.0,3800.203,26.17,1.0,0.0
145,229.6,10.0,10.0,0.0,0.0,30.003,30.003,0.0,199.597,3600.606,26.57,1.0,0.0
146,230.3,76.759,76.759,0.0,0.0,230.3,230.3,0.0,0.0,3600.606,26.17,1.0,0.0
147,228.9,10.0,10.0,0.0,0.0,30.003,30.003,0.0,198.897,3401.709,26.57,1.0,0.0
148,227.9,75.959,75.959,0.0,0.0,227.9,227.9,0.0,0.0,3401.709,26.17,1.0,0.0
149,226.4,75.459,75.459,0.0,0.0,226.4,226.4,0.0,0.0,3401.709,26.17,1.0,0.0
150,225.7,75.226,75.226,0.0,0.0,225.7,225.7,0.0,0.0,3401.709,26.17,1.0,0.0
151,224.8,275.268,274.336,0.0,0.932,823.091,224.8,598.291,0.0,4000.0,26.17,1.0,0.0
152,224.9,74.959,74.959,0.0,0.0,224.9,224.9,0.0,0.0,4000.0,26.17,1.0,0.0
153,224.7,10.0,10.0,0.0,0.0,30.003,30.003,0.0,194.697,3805.303,26.57,1.0,0.0
154,223.8,139.788,139.485,0.0,0.303,418.497,223.8,194.697,0.0,4000.0,26.17,1.0,0.0
155,223.2,74.393,74.393,0.0,0.0,223.2,223.2,0.0,0.0,4000.0,26.57,1.0,0.0
156,224.4,74.793,74.793,0.0,0.0,224.4,224.4,0.0,0.0,4000.0,26.57,1.0,0.0
157,224.4,70.189,70.189,0.0,0.0,210.588,210.588,0.0,13.812,3986.188,26.57,1.0,0.0
158,224.8,10.0,10.0,0.0,0.0,30.003,30.003,0.0,194.797,3791.391,26.57,1.0,0.0
159,225.3,10.0,10.0,0.0,0.0,30.003,30.003,0.0,195.297,3596.094,26.57,1.0,0.0
160,228.1,10.0,10.0,0.0,0.0,30.003,30.003,0.0,198.097,3397.997,26.64,1.0,0.0
161,230.1,10.032,10.032,0.0,0.0,30.1,30.1,0.0,200.0,3197.997,26.64,1.0,0.0
162,233.4,11.132,11.132,0.0,0.0,33.4,33.4,0.0,200.0,2997.997,26.71,1.0,0.0
163,237.8,12.599,12.599,0.0,0.0,37.8,37.8,0.0,200.0,2797.997,27.21,1.0,0.0
164,241.9,13.965,13.965,0.0,0.0,41.9,41.9,0.0,200.0,2597.997,27.28,1.0,0.0
165,244.4,14.799,14.799,0.0,0.0,44.4,44.4,0.0,200.0,2397.997,27.87,1.0,0.0
166,246.4,15.465,15.465,0.0,0.0,46.4,46.4,0.0,200.0,2197.997,27.87,1.0,0.0
167,247.8,15.932,15.932,0.0,0.0,47.8,47.8,0.0,200.0,1997.997,27.87,1.0,0.0
168,248.2,16.065,16.065,0.0,0.0,48.2,48.2,0.0,200.0,1797.997,27.87,1.0,0.0
169,248.0,15.998,15.998,0.0,0.0,48.0,48.0,0.0,200.0,1597.997,27.87,1.0,0.0
170,246.7,15.565,15.565,0.0,0.0,46.7,46.7,0.0,200.0,1397.997,27.87,1.0,0.0
171,244.6,14.865,14.865,0.0,0.0,44.6,44.6,0.0,200.0,1197.997,27.87,1.0,0.0
172,244.4,14.799,14.799,0.0,0.0,44.4,44.4,0.0,200.0,997.997,27.87,1.0,0.0
173,241.7,13.899,13.899,0.0,0.0,41.7,41.7,0.0,200.0,797.997,27.28,1.0,0.0
174,240.1,13.365,13.365,0.0,0.0,40.1,40.1,0.0,200.0,597.997,27.21,1.0,0.0
175,237.7,12.565,12.565,0.0,0.0,37.7,37.7,0.0,200.0,397.997,27.21,1.0,0.0
176,232.9,10.966,10.966,0.0,0.0,32.9,32.9,0.0,200.0,197.997,26.71,1.0,0.0
177,228.0,10.0,10.0,0.0,0.0,30.003,30.003,0.0,197.997,0.0,26.57,1.0,0.0
178,224.1,74.693,74.693,0.0,0.0,224.1,224.1,0.0,0.0,0.0,26.17,1.0,0.0
179,220.3,73.426,73.426,0.0,0.0,220.3,220.3,0.0,0.0,0.0,26.04,1.0,0.0
180,218.2,72.726,72.726,0.0,0.0,218.2,218.2,0.0,0.0,0.0,26.04,1.0,0.0
181,217.3,72.426,72.426,0.0,0.0,217.3,217.3,0.0,0.0,0.0,26.04,1.0,0.0
182,214.9,134.009,133.719,0.0,0.29,401.197,214.9,186.297,0.0,186.297,25.91,1.0,0.0
183,214.3,71.426,71.426,0.0,0.0,214.3,214.3,0.0,0.0,186.297,25.91,1.0,0.0
184,216.3,10.0,10.0,0.0,0.0,30.003,30.003,0.0,186.297,0.0,26.04,1.0,0.0
185,214.4,71.46,71.46,0.0,0.0,214.4,214.4,0.0,0.0,0.0,25.91,1.0,0.0
186,211.8,70.593,70.593,0.0,0.0,211.8,211.8,0.0,0.0,0.0,25.59,1.0,0.0
