industry_demand,allBidQuantity,allCurrentSOC,price
22.98,0.0,868.2800000000001,24.92
22.98,0.0,845.3000000000001,25.3
22.96,0.0,822.34,25.07
23.03,0.0,799.3100000000001,25.12
22.89,0.0,776.4200000000001,24.53
22.79,0.0,753.6300000000001,25.0
22.64,0.0,730.9900000000001,24.42
22.57,0.0,708.4200000000001,24.65
22.48,0.0,685.94,24.32
22.49,0.0,663.45,24.56
22.47,0.0,640.98,24.32
22.38,0.0,618.6,24.56
22.32,0.0,596.28,23.84
22.44,0.0,573.8399999999999,24.92
22.44,0.0,551.3999999999999,24.27
22.48,0.0,528.9199999999998,25.0
22.53,0.0,506.3899999999999,23.92
22.81,0.0,483.57999999999987,25.3
23.01,0.0,460.5699999999999,24.42
23.34,0.0,437.2299999999999,26.59
23.78,0.0,413.44999999999993,24.56
24.19,0.0,389.25999999999993,26.65
24.44,0.0,364.81999999999994,24.53
24.64,0.0,340.17999999999995,25.18
24.78,0.0,315.4,24.65
24.82,0.0,290.58,25.3
24.8,0.0,265.78,24.53
24.67,0.0,241.10999999999999,25.3
24.46,0.0,216.64999999999998,24.27
24.44,0.0,192.20999999999998,25.18
24.17,0.0,168.04,23.84
24.01,0.0,144.03,24.92
23.77,0.0,120.25999999999999,23.81
23.29,0.0,96.96999999999998,24.56
22.8,0.0,74.16999999999999,23.66
22.41,0.0,51.75999999999999,23.84
22.03,100.0,129.73,21.72
21.82,0.0,107.91,23.73
21.73,0.0,86.17999999999999,21.76
21.49,0.0,64.69,23.68
21.43,0.0,43.26,22.06
21.63,0.0,21.63,24.43
21.44,100.0,100.19,19.65
21.18,0.0,79.00999999999999,23.84
20.89,100.0,158.12,19.39
20.59,0.0,137.53,23.68
20.31,100.0,217.22,19.28
19.93,0.0,197.29,22.06
19.55,100.0,277.74,19.01
19.24,0.0,19.24,19.01
18.88,100.0,100.36,17.89
18.48,24.970000000000255,106.85000000000025,17.89
18.2,0.0,88.65000000000025,17.89
17.89,0.0,70.76000000000025,17.89
17.72,100.0,153.04000000000025,16.84
17.48,100.0,235.56000000000023,13.3
17.34,100.0,318.22000000000025,13.19
17.28,0.0,300.9400000000003,19.39
17.14,100.0,383.8000000000003,17.78
17.04,0.0,366.7600000000003,19.88
17.02,100.0,449.7400000000003,17.78
16.94,0.0,432.8000000000003,21.74
16.95,100.0,515.8500000000003,15.94
16.96,100.0,598.8900000000002,17.19
16.86,100.0,682.0300000000002,13.18
16.91,100.0,765.1200000000002,13.09
16.89,100.0,848.2300000000002,13.88
16.95,0.0,831.2800000000002,21.74
16.86,100.0,914.4200000000002,15.94
16.88,100.0,997.5400000000002,17.23
16.75,100.0,1080.7900000000002,15.94
16.65,100.0,1164.14,17.23
16.5,100.0,1247.64,15.94
16.3,100.0,1331.3400000000001,13.03
16.38,0.0,1314.96,23.32
16.48,100.0,1398.48,17.59
16.63,0.0,1381.85,22.06
16.78,100.0,1465.07,17.59
16.9,0.0,1448.1699999999998,19.01
17.28,0.0,1430.8899999999999,23.72
17.57,0.0,1413.32,23.87
17.83,0.0,1395.49,23.72
18.1,0.0,1377.39,24.57
18.32,0.0,1359.0700000000002,23.85
18.6,0.0,1340.4700000000003,24.8
19.07,0.0,1321.4000000000003,24.57
19.4,0.0,1302.0000000000002,25.07
19.77,0.0,1282.2300000000002,24.8
20.07,0.0,1262.1600000000003,25.0
20.42,0.0,1241.7400000000002,24.6
20.72,0.0,1221.0200000000002,24.91
20.95,0.0,1200.0700000000002,24.68
