,industry_demand,optimalBidamount,elecStandByCons,elecCons,comprCons,prodH2,elecToPlantUse_kg,elecToStorage_kg,storageToPlantUse_kg,currentSOC,price,isRunning,isIdle,isStandBy,isColdStarted
45,48232.62,10206.941,0.0,10206.941,0.0,48232.62,48232.62,0.0,0.0,0.0,47.36,1.0,0.0,0.0,0.0
46,48140.89,10187.529,0.0,10187.529,0.0,48140.89,48140.89,0.0,0.0,0.0,47.4,1.0,0.0,0.0,0.0
47,48216.47,10203.523,0.0,10203.523,0.0,48216.47,48216.47,0.0,0.0,0.0,47.36,1.0,0.0,0.0,0.0
48,48067.45,10171.988,0.0,10171.988,0.0,48067.45,48067.45,0.0,0.0,0.0,47.37,1.0,0.0,0.0,0.0
49,48166.88,10193.029,0.0,10193.029,0.0,48166.88,48166.88,0.0,0.0,0.0,47.41,1.0,0.0,0.0,0.0
50,48098.62,10178.584,0.0,10178.584,0.0,48098.62,48098.62,0.0,0.0,0.0,47.14,1.0,0.0,0.0,0.0
51,48151.31,10189.734,0.0,10189.734,0.0,48151.31,48151.31,0.0,0.0,0.0,47.41,1.0,0.0,0.0,0.0
52,47969.0,10151.154,0.0,10151.154,0.0,47969.0,47969.0,0.0,0.0,0.0,47.42,1.0,0.0,0.0,0.0
53,48103.22,10179.558,0.0,10179.558,0.0,48103.22,48103.22,0.0,0.0,0.0,47.0888,1.0,0.0,0.0,0.0
54,48204.32,10200.952,0.0,10200.952,0.0,48204.32,48204.32,0.0,0.0,0.0,47.0888,1.0,0.0,0.0,0.0
55,48223.29,10204.967,0.0,10204.967,0.0,48223.29,48223.29,0.0,0.0,0.0,47.0888,1.0,0.0,0.0,0.0
56,48189.66,10197.85,0.0,10197.85,0.0,48189.66,48189.66,0.0,0.0,0.0,47.6872,1.0,0.0,0.0,0.0
57,48100.54,10178.99,0.0,10178.99,0.0,48100.54,48100.54,0.0,0.0,0.0,47.6872,1.0,0.0,0.0,0.0
58,48137.3,10186.77,0.0,10186.77,0.0,48137.3,48137.3,0.0,0.0,0.0,47.66,1.0,0.0,0.0,0.0
59,48427.17,10248.112,0.0,10248.112,0.0,48427.17,48427.17,0.0,0.0,0.0,47.6872,1.0,0.0,0.0,0.0
60,48097.66,10178.381,0.0,10178.381,0.0,48097.66,48097.66,0.0,0.0,0.0,51.2688,1.0,0.0,0.0,0.0
61,48069.23,10172.365,0.0,10172.365,0.0,48069.23,48069.23,0.0,0.0,0.0,51.2688,1.0,0.0,0.0,0.0
62,47997.35,10157.153,0.0,10157.153,0.0,47997.35,47997.35,0.0,0.0,0.0,51.41683673469388,1.0,0.0,0.0,0.0
63,48211.4,10202.451,0.0,10202.451,0.0,48211.4,48211.4,0.0,0.0,0.0,50.2392,1.0,0.0,0.0,0.0
64,48064.24,10171.309,0.0,10171.309,0.0,48064.24,48064.24,0.0,0.0,0.0,51.9816,1.0,0.0,0.0,0.0
65,48045.05,10167.248,0.0,10167.248,0.0,48045.05,48045.05,0.0,0.0,0.0,52.41965608465608,1.0,0.0,0.0,0.0
66,48143.33,10188.046,0.0,10188.046,0.0,48143.33,48143.33,0.0,0.0,0.0,53.844142857142856,1.0,0.0,0.0,0.0
67,48165.23,10192.68,0.0,10192.68,0.0,48165.23,48165.23,0.0,0.0,0.0,53.81,1.0,0.0,0.0,0.0
68,48105.58,10180.057,0.0,10180.057,0.0,48105.58,48105.58,0.0,0.0,0.0,53.77,1.0,0.0,0.0,0.0
69,48071.04,10172.748,0.0,10172.748,0.0,48071.04,48071.04,0.0,0.0,0.0,53.78,1.0,0.0,0.0,0.0
70,48154.76,10190.464,0.0,10190.464,0.0,48154.76,48154.76,0.0,0.0,0.0,53.88,1.0,0.0,0.0,0.0
71,48279.49,10216.86,0.0,10216.86,0.0,48279.49,48279.49,0.0,0.0,0.0,54.38,1.0,0.0,0.0,0.0
72,48179.62,10195.725,0.0,10195.725,0.0,48179.62,48179.62,0.0,0.0,0.0,52.45,1.0,0.0,0.0,0.0
73,48153.61,10190.221,0.0,10190.221,0.0,48153.61,48153.61,0.0,0.0,0.0,52.9232,1.0,0.0,0.0,0.0
74,48172.94,10194.312,0.0,10194.312,0.0,48172.94,48172.94,0.0,0.0,0.0,51.9992,1.0,0.0,0.0,0.0
75,48109.5,10180.887,0.0,10180.887,0.0,48109.5,48109.5,0.0,0.0,0.0,51.9992,1.0,0.0,0.0,0.0
76,48212.11,10202.601,0.0,10202.601,0.0,48212.11,48212.11,0.0,0.0,0.0,51.1104,1.0,0.0,0.0,0.0
77,48240.18,10208.541,0.0,10208.541,0.0,48240.18,48240.18,0.0,0.0,0.0,49.92,1.0,0.0,0.0,0.0
78,48175.49,10194.851,0.0,10194.851,0.0,48175.49,48175.49,0.0,0.0,0.0,48.92,1.0,0.0,0.0,0.0
79,48142.81,10187.936,0.0,10187.936,0.0,48142.81,48142.81,0.0,0.0,0.0,48.7,1.0,0.0,0.0,0.0
