,Iron_steel
456,48234.82
457,48155.04
458,48059.94
459,48225.33
460,48067.51
461,48053.75
462,48090.51
463,48263.04
464,48160.59
465,48162.88
466,48251.55
467,48486.1
468,48630.95
469,48740.95
470,49169.65
471,49428.52
472,49943.95
473,50485.16
474,51262.0
475,51939.52
476,53004.81
477,54035.85
478,54877.28
479,55163.56
480,55255.29
481,55196.0
482,55446.8
483,55222.58
484,55362.99
485,55377.0
486,55530.84
487,55645.66
488,55814.32
489,55578.99
490,55649.6
491,55492.35
492,55466.91
493,55257.32
494,55119.36
495,55327.15
496,55349.99
497,55264.75
498,55521.27
499,55981.36
500,56452.29
501,56847.5
502,57541.13
503,58213.48
504,59139.66
505,59797.5
506,60771.2
507,61652.47
508,62365.16
509,63159.95
510,63879.83
511,64766.19
512,65173.4
513,65688.71
514,65963.32
515,66337.2
516,66415.22
517,66540.03
518,66792.15
519,66675.34
520,66624.73
521,66723.97
522,66565.96
523,66499.02
524,66513.08
525,66609.51
526,66696.42
527,66788.09
528,66795.56
529,66790.42
530,66985.79
531,66869.25
532,66889.39
533,66902.28
534,66815.32
535,66736.24
536,66386.91
537,66441.68
538,66112.17
539,65726.37
540,65570.04
541,64987.89
542,64841.29
543,64370.77
544,63993.37
545,63704.52
546,63254.33
547,62841.2
548,62512.98
549,62090.71
550,61785.1
551,61688.45
552,61285.03
553,61187.08
554,61140.15
555,60961.7
556,61002.23
557,60768.01
558,60877.6
559,60856.89
560,60637.11
561,60859.03
562,60651.19
563,60682.07
564,60358.01
565,60282.59
566,60159.21
567,59942.05
568,59522.21
569,59303.97
570,58740.32
571,58378.69
572,57702.3
573,56797.19
574,55582.8
575,55217.87
576,55292.87
577,55212.41
578,55123.66
579,55178.57
580,55187.92
581,55272.81
582,55626.03
583,55728.68
584,55836.92
585,55644.66
586,55668.58
587,55470.26
588,55265.75
589,55286.95
590,55311.79
591,55292.11
592,55110.06
593,55438.77
594,55521.11
595,55992.9
596,56411.71
597,57001.05
598,57528.64
599,58298.42
600,59018.03
601,60031.5
602,60776.66
603,61577.64
604,62451.51
605,63242.0
606,63992.05
607,64697.95
608,65114.19
609,65743.7
610,66149.64
611,66479.8
612,66567.82
613,66784.93
614,66567.26
615,66673.77
616,66582.04
617,66716.56
618,66612.29
619,66603.59
620,66613.4
621,66616.48
622,66641.3
623,66765.41
624,66847.27
625,66908.8
626,66822.56
627,66961.16
628,66785.55
629,66751.41
630,66919.23
631,66633.46
632,66442.98
633,66338.52
634,66098.03
635,65867.33
636,65529.92
637,65100.46
638,64855.45
639,64367.49
640,63868.32
641,63623.9
642,63070.42
643,62777.78
644,62409.44
645,62179.36
646,61896.04
647,61683.67
648,61249.61
649,61198.84
650,60963.92
651,61007.82
652,61011.31
653,60945.78
654,60731.54
655,60716.62
656,60830.43
657,60660.17
658,60738.73
659,60683.82
660,60591.02
661,60296.92
662,60247.18
663,59989.68
664,59767.0
665,59393.99
666,58755.89
667,58304.45
668,57813.98
669,56717.65
670,55639.84
671,55202.57
672,55292.33
673,55305.49
674,55172.7
675,55201.71
676,55199.6
677,55346.04
678,55626.95
679,55729.6
680,55729.38
681,55707.81
682,55607.84
683,55520.73
684,55391.78
685,55277.43
686,55166.35
687,55175.57
688,55351.18
689,55276.24
690,55622.25
691,55915.32
692,56325.99
693,56719.14
694,57542.94
695,58233.43
696,59057.64
697,59727.86
698,60822.51
699,61480.67
700,62502.73
701,63287.66
702,64121.35
703,64462.09
704,65119.49
705,65766.11
706,65952.97
707,66391.35
708,66542.84
709,66780.2
710,66629.6
711,66568.23
712,66581.31
713,66569.04
714,66611.78
715,66518.16
716,66628.03
717,66756.09
718,66567.09
719,66824.16
720,66855.27
721,66959.27
722,66757.46
723,66907.99
724,66867.63
725,66885.44
726,66682.39
727,66652.6
728,66636.27
729,66556.06
730,66088.68
731,65909.9
732,65454.41
733,65271.91
734,64844.45
735,64366.12
736,63851.45
737,63529.5
738,63234.32
739,62689.46
740,62474.0
741,61922.94
742,61843.46
743,61621.92
744,61535.36
745,61158.05
746,60960.97
747,60995.55
748,60982.22
749,60727.08
750,60710.21
751,60680.04
752,60808.02
753,60647.98
754,60691.31
755,60701.67
756,60512.59
757,60478.83
758,60270.26
759,60028.55
760,59693.71
761,59274.37
762,58793.17
763,58458.68
764,57642.1
765,56699.24
766,55722.49
767,55184.54
768,55177.62
769,55321.68
770,55279.76
771,55136.88
772,55253.29
773,55246.75
774,55607.19
775,55791.26
776,55661.07
777,55768.28
778,55691.13
779,55638.82
780,55341.8
781,55350.23
782,55195.0
783,55144.72
784,55319.25
785,55331.17
786,55684.59
787,55835.78
788,56374.05
789,56758.12
790,57398.82
791,58246.3
792,58901.17
793,59719.72
794,60795.15
795,61673.83
796,62414.44
797,63222.07
798,63864.91
799,64706.58
800,65182.59
801,65825.61
802,66186.65
803,66321.22
804,66468.53
805,66535.46
806,66634.14
807,66596.37
808,66706.7
809,66501.75
810,66451.04
811,66522.11
812,66704.32
813,66606.4
814,66706.72
815,66646.3
816,66840.38
817,66688.39
818,66843.86
819,66931.13
820,67019.88
821,66923.8
822,66780.55
823,66601.37
824,66605.91
825,66361.72
826,66183.35
827,65703.96
828,65394.91
829,65335.71
830,64880.49
831,64454.46
832,64050.33
833,63595.38
834,63090.91
835,62802.51
836,62470.46
837,62037.86
838,61771.82
839,61525.71
840,61347.69
841,61150.72
842,61066.32
843,60891.39
844,60777.52
845,60852.11
846,60919.75
847,60669.85
848,60872.28
849,60921.99
850,60783.15
851,60622.59
852,60587.39
853,60327.76
854,60169.99
855,59854.08
856,59598.28
857,59306.86
858,58909.93
859,58142.03
860,57746.42
861,56745.96
862,55475.61
863,55263.16
864,55301.03
865,55138.4
866,55290.11
867,55198.06
868,55166.38
869,55363.56
870,55690.37
871,55766.79
872,55856.2
873,55806.7
874,55551.23
875,55363.37
876,55331.47
877,55153.45
878,55196.63
879,55063.89
880,55362.69
881,55328.52
882,55600.0
883,55894.29
884,56549.07
885,56934.92
886,57436.24
887,58307.75
888,59060.58
889,59791.98
890,60721.21
891,61742.6
892,62393.9
893,63223.99
894,63982.83
895,64569.87
896,65150.85
897,65538.95
898,66057.48
899,66448.17
900,66452.47
901,66606.83
902,66553.04
903,66528.14
904,66683.55
905,66602.26
906,66627.11
907,66644.14
908,66761.38
909,66782.9
910,66723.43
911,66822.43
912,66943.65
913,66970.68
914,66949.4
915,66928.99
916,66900.26
917,66961.76
918,66714.72
919,66745.33
920,66571.36
921,66410.03
922,66156.72
923,65794.85
924,65601.45
925,65164.07
926,64748.32
927,64392.61
928,64028.06
929,63611.28
930,63325.51
931,62835.49
932,62487.03
933,62214.96
934,61765.23
935,61429.85
936,61450.72
937,61236.69
938,61126.91
939,60954.19
940,60691.99
941,60846.41
942,60901.64
943,60849.0
944,60866.25
945,60911.5
946,60605.05
947,60648.87
948,60519.78
949,60389.64
950,60103.14
951,59990.36
952,59486.69
953,59341.92
954,58909.65
955,58377.58
956,57780.43
957,56717.63
958,55598.29
959,55222.8
960,55213.79
961,55192.76
962,55337.53
963,55109.01
964,55127.28
965,54384.83
966,53826.96
967,52855.91
968,52062.55
969,51486.63
970,51061.3
971,50656.47
972,50315.04
973,50015.8
974,49845.62
975,49668.04
976,49543.82
977,49558.23
978,49529.87
979,49633.06
980,49608.0
981,49605.32
982,49682.42
983,49759.39
984,49961.52
985,49879.07
986,49955.25
987,50149.89
988,49938.24
989,50162.41
990,50177.68
991,50216.88
992,50276.06
993,50277.33
994,50215.42
995,50138.35
996,50385.95
997,50301.58
998,50325.26
999,50314.28
1000,50448.37
1001,50406.57
1002,50290.33
1003,50434.09
1004,50302.93
1005,50422.66
1006,50357.81
1007,50481.76
1008,50465.21
1009,50468.56
1010,50311.42
1011,50315.61
1012,50209.01
1013,50285.54
1014,49975.2
1015,49908.94
1016,49818.05
1017,49790.96
1018,49619.3
1019,49450.23
1020,49366.88
1021,49166.73
1022,48913.8
1023,48796.99
1024,48686.07
1025,48570.9
1026,48452.82
1027,48416.89
1028,48216.09
1029,48302.11
1030,48181.24
1031,48234.79
1032,48201.51
1033,48243.66
1034,48085.0
1035,48226.71
1036,48198.27
1037,48153.21
1038,48094.68
1039,48050.5
1040,48099.33
1041,48193.65
1042,48156.67
1043,48194.19
1044,48166.94
1045,48024.28
1046,48116.2
1047,48024.39
1048,48023.93
1049,48199.81
1050,47977.78
1051,48090.24
1052,48138.55
1053,48190.35
1054,48107.95
1055,48136.58
1056,48054.86
1057,48082.35
1058,48038.2
1059,48093.41
1060,48177.86
1061,48075.19
1062,48122.98
1063,48132.61
1064,48163.67
1065,48088.41
1066,48194.78
1067,48032.69
1068,48157.12
1069,48077.86
1070,48050.13
1071,48207.52
1072,48141.18
1073,48132.2
1074,48144.37
1075,48101.49
1076,48083.19
1077,48258.42
1078,48145.34
1079,47960.67
1080,48144.26
1081,48292.62
1082,48117.74
1083,48127.79
1084,48157.61
1085,48226.93
1086,48151.42
1087,48176.64
1088,48123.82
1089,48137.23
1090,48040.42
1091,48031.17
1092,48008.14
1093,48186.94
1094,48101.79
1095,48183.43
1096,48075.92
1097,48101.81
1098,48117.76
1099,48215.33
1100,48266.07
1101,48063.37
1102,48193.54
1103,48139.63
1104,48093.95
1105,48159.91
1106,47997.44
1107,48183.21
1108,48164.61
1109,48058.51
1110,48197.86
1111,48003.68
1112,48161.75
1113,48223.2
1114,48005.33
1115,48179.08
1116,48133.69
1117,48006.84
1118,48061.02
1119,48062.64
1120,48159.31
1121,48154.31
1122,47986.03
1123,48160.77
1124,48112.25
1125,48020.39
1126,48145.72
1127,48124.93
1128,48026.23
1129,48144.82
1130,48088.65
1131,48310.92
1132,48210.14
1133,48079.78
1134,48107.84
1135,48121.31
1136,47985.51
1137,48064.32
1138,48265.18
1139,48529.68
1140,48462.63
1141,48761.63
1142,49040.75
1143,49379.81
1144,49839.19
1145,50434.42
1146,51132.13
1147,52072.31
1148,53158.47
1149,54078.19
1150,54793.2
1151,55236.74
1152,55110.36
1153,55244.67
1154,55264.26
1155,55204.49
1156,55220.25
1157,55429.2
1158,55574.56
1159,55644.14
1160,55729.81
1161,55756.9
1162,55579.42
1163,55506.27
1164,55407.27
1165,55251.34
1166,54947.75
1167,55224.04
1168,55320.52
1169,55380.37
1170,55694.99
1171,55908.32
1172,56281.57
1173,56928.81
1174,57516.8
1175,58129.65
1176,58926.12
1177,59991.9
1178,60693.39
1179,61531.98
1180,62395.76
1181,63111.64
1182,64024.0
1183,64729.77
1184,65290.97
1185,65673.28
1186,66018.04
1187,66333.6
1188,66469.37
1189,66656.36
1190,66556.04
1191,66564.98
1192,66541.22
1193,66495.05
1194,66555.23
1195,66482.48
1196,66558.47
1197,66539.11
1198,66857.68
1199,66829.43
1200,66754.57
1201,66840.65
1202,66870.63
1203,66978.17
1204,66818.86
1205,66646.22
1206,66740.08
1207,66597.48
1208,66465.53
1209,66426.33
1210,66083.76
1211,65838.26
1212,65357.09
1213,65222.06
1214,64840.69
1215,64328.62
1216,64195.42
1217,63595.01
1218,63061.98
1219,62732.71
1220,62455.48
1221,62119.53
1222,61787.94
1223,61473.48
1224,61373.16
1225,61278.4
1226,61139.15
1227,61040.75
1228,61108.82
1229,60784.98
1230,60871.98
1231,60774.09
1232,60850.43
1233,60746.27
1234,60794.88
1235,60631.54
1236,60705.75
1237,60463.2
1238,60246.96
1239,59935.56
1240,59734.83
1241,59210.54
1242,58806.17
1243,58451.03
1244,57617.33
1245,56832.46
1246,55641.39
1247,55326.15
1248,55145.4
1249,55331.55
1250,55117.71
1251,55180.84
1252,55298.73
1253,55508.14
1254,55551.71
1255,55605.0
1256,55755.39
1257,55666.93
1258,55630.27
1259,55484.43
1260,55376.13
1261,55180.41
1262,55138.42
1263,55252.18
1264,55178.14
1265,55342.53
1266,55685.18
1267,55836.92
1268,56413.5
1269,56730.55
1270,57477.03
1271,58224.38
1272,59119.68
1273,59822.85
1274,60748.19
1275,61531.06
1276,62463.83
1277,63222.07
1278,63943.23
1279,64773.35
1280,65125.36
1281,65619.53
1282,66061.97
1283,66344.9
1284,66395.35
1285,66627.97
1286,66822.37
1287,66635.89
1288,66682.74
1289,66580.69
1290,66459.96
1291,66613.24
1292,66553.39
1293,66735.38
1294,66676.09
1295,66731.76
1296,66831.86
1297,66968.6
1298,66839.94
1299,67031.91
1300,66879.58
1301,66980.66
1302,66988.2
1303,66608.54
1304,66475.48
1305,66284.4
1306,66144.15
1307,65755.57
1308,65445.09
1309,65193.92
1310,64833.37
1311,64365.79
1312,63985.53
1313,63555.13
1314,63121.24
1315,62783.72
1316,62316.34
1317,61973.47
1318,61867.41
1319,61527.9
1320,61347.26
1321,61101.87
1322,61208.87
1323,61100.25
1324,60949.43
1325,60833.78
1326,60843.3
1327,60827.4
1328,60847.76
1329,60609.45
1330,60767.03
1331,60820.61
1332,60393.21
1333,60354.53
1334,60250.45
1335,59876.92
1336,59691.34
1337,59298.83
1338,58779.03
1339,58266.93
1340,57863.5
1341,56857.06
1342,55669.74
1343,55292.0
1344,55317.9
1345,55282.86
1346,55251.15
1347,55241.26
1348,55302.41
1349,55345.45
1350,55504.7
1351,55688.64
1352,55713.97
1353,55770.58
1354,55588.8
1355,55379.59
1356,55361.53
1357,55291.95
1358,55087.6
1359,55080.62
1360,55184.95
1361,55319.58
1362,55622.81
1363,55963.36
1364,56408.63
1365,56727.38
1366,57446.35
1367,58209.81
1368,59076.51
1369,59798.79
1370,60747.7
1371,61613.7
1372,62383.98
1373,63264.82
1374,63950.04
1375,64635.48
1376,65169.37
1377,65709.75
1378,65969.62
1379,66372.56
1380,66493.16
1381,66547.87
1382,66535.06
1383,66535.06
1384,66693.42
1385,66550.22
1386,66593.23
1387,66560.15
1388,66612.1
1389,66732.65
1390,66739.0
1391,66702.32
1392,66868.33
1393,66938.97
1394,67033.43
1395,66930.51
1396,67071.16
1397,66988.39
1398,66755.73
1399,66635.19
1400,66444.52
1401,66403.51
1402,66148.31
1403,65875.89
1404,65425.35
1405,65095.89
1406,64741.1
1407,64325.24
1408,64025.19
1409,63586.46
1410,63181.04
1411,62862.72
1412,62378.14
1413,62192.47
1414,61853.11
1415,61622.06
1416,61320.14
1417,61100.68
1418,60998.36
1419,60885.12
1420,60999.23
1421,60920.29
1422,60812.37
1423,60895.98
1424,61010.34
1425,60725.21
1426,60730.94
1427,60750.38
1428,60493.7
1429,60453.15
1430,60328.6
1431,59954.02
1432,59647.46
1433,59257.25
1434,58790.65
1435,58395.53
1436,57760.72
1437,56851.85
1438,55677.96
1439,55262.94
1440,55205.63
1441,55301.08
1442,55196.03
1443,55187.33
1444,55308.38
1445,55398.46
1446,55522.68
1447,55653.71
1448,55781.18
1449,55702.72
1450,55497.32
1451,55438.28
1452,55371.24
1453,55281.86
1454,55277.89
1455,55027.94
1456,55352.02
1457,55319.74
1458,55552.8
1459,55997.31
1460,56394.71
1461,56961.63
1462,57381.84
1463,58415.99
1464,59014.76
1465,59833.91
1466,60717.18
1467,61624.81
1468,62526.23
1469,63218.72
1470,64036.74
1471,64654.11
1472,65132.2
1473,65758.0
1474,66175.94
1475,66214.55
1476,66542.41
1477,66639.22
1478,66701.15
1479,66615.54
1480,66612.81
1481,66682.58
1482,66722.21
1483,66574.5
1484,66620.19
1485,66657.74
1486,66729.21
1487,66846.92
1488,66882.74
1489,66986.2
1490,66917.86
1491,66871.17
1492,66967.92
1493,66912.72
1494,66810.94
1495,66560.69
1496,66624.92
1497,66398.73
1498,66007.66
1499,65869.27
1500,65603.72
1501,65210.73
1502,64715.47
1503,64244.3
1504,63846.47
1505,63572.19
1506,63166.03
1507,62788.32
1508,62399.06
1509,62022.4
1510,61821.08
1511,61576.1
1512,61264.56
1513,61257.89
1514,61083.11
1515,60911.02
1516,60826.54
1517,60945.11
