,demand
449,62993.08
450,63606.13
451,64667.25
452,65920.07
453,66197.87
454,66484.85
455,66692.78
456,66914.22
457,66243.76
458,66396.21
459,66028.98
460,65514.24
461,64821.74
462,64299.57
463,63640.72
464,62193.53
465,61168.42
466,60405.75
467,59822.39
468,59207.6
469,58780.61
470,58453.59
471,58078.04
472,58583.1
473,58137.07
474,57464.3
475,57137.020000000004
476,56153.36
477,55451.9
478,55007.58
479,54485.2
480,53272.08
481,52311.9
482,51745.24
483,51222.36
484,50583.88
485,50167.85
486,50008.67
487,49646.06
488,48981.06
489,48831.0
490,48579.86
491,48443.99
492,48546.72
493,48673.06
494,48414.61
495,48280.17
496,48397.42
497,48469.44
498,48479.33
499,48528.24
500,48339.26
501,47941.5
502,47819.21
503,47710.15
504,47577.3
505,47655.18
506,47751.32
507,48151.7
508,48545.63
509,48800.29
510,49149.97
511,49961.56
512,50949.25
513,51594.99
514,52252.69
515,53171.19
516,54338.05
517,55295.15
518,56110.32
519,56741.53
520,57598.66
521,58247.270000000004
522,58936.85
523,59566.34
524,60445.979999999996
525,60993.05
526,61528.82
527,61800.3
528,62074.26
529,61820.6
530,61644.270000000004
531,61321.63
532,60810.99
533,60366.19
534,60237.14
535,59942.25
536,60191.46
537,59950.71
538,59680.729999999996
539,59286.76
540,58816.29
541,58887.64
542,58838.37
543,58807.729999999996
544,59166.45
545,59799.43
546,60789.68
547,62017.729999999996
548,63060.34
549,63750.97
550,64117.13
551,64232.18
552,65061.22
553,65006.87
554,64692.21
555,64087.1
556,64046.06
557,63369.65
558,63174.96
559,62570.89
560,62131.18
561,61396.43
562,60500.17
563,59985.24
564,59585.33
565,59368.97
566,58952.229999999996
567,58242.3
568,58812.01
569,59175.93
570,57893.479999999996
571,57004.47
572,56670.28
573,55889.44
574,55021.2
575,53686.97
576,53276.72
577,52590.14
578,51610.25
579,51053.94
580,51297.53
581,50673.36
582,50222.32
583,49949.82
584,50394.64
585,50120.53
586,49838.85
587,49962.74
588,50654.57
589,50821.6
590,50585.68
591,50789.58
592,51895.520000000004
593,51975.46
594,52615.91
595,53422.06
596,55390.61
597,55808.63
598,57090.88
599,58987.82
600,62743.93
601,65288.57
602,67180.16
603,68631.07
604,70959.04
605,71971.93
606,73344.23
607,74157.13
608,75360.29
609,75470.81
610,75805.88
611,76030.54
612,75890.96
613,75862.36
614,76099.6
615,76350.29
616,76827.08
617,77196.84
618,77534.92
619,77765.44
620,78093.92
621,78432.89
622,78502.16
623,78496.33
624,78260.82
625,78280.37
626,78296.28
627,78249.55
628,78420.47
629,78482.38
630,78300.12
631,77730.5
632,77866.91
633,78030.79
634,78087.79
635,77837.44
636,78130.43
637,77822.11
638,77489.74
639,77533.63
640,77813.28
641,78271.71
642,78681.2
643,79496.7
644,80498.29
645,80778.36
646,80779.15
647,80869.83
648,80290.44
649,79870.96
650,79646.68
651,79389.94
652,78908.4
653,78090.97
654,77531.57
655,77172.8
656,75916.4
657,74885.98
658,74066.88
659,73127.5
660,72483.05
661,71787.5
662,71045.5
663,69989.55
664,69612.51
665,68705.51
666,67430.85
667,66260.53
668,65020.74
669,64249.78
670,63216.04
671,62620.88
672,60679.92
673,60066.65
674,59450.270000000004
675,59048.99
676,58437.47
677,58139.47
678,57771.87
679,57355.96
680,57216.69
681,57156.56
682,57119.03
683,57159.67
684,57441.39
685,57551.44
686,57808.5
687,58042.92
688,58496.1
689,58889.729999999996
690,59474.88
691,60032.979999999996
692,61265.92
693,62073.28
694,63286.76
695,64736.99
696,67749.02
697,69650.75
698,71475.58
699,73176.11
700,75280.46
701,76435.61
702,77595.17
703,78440.14
704,79390.82
705,79835.41
706,79838.51
707,79193.47
708,79623.08
709,79955.92
710,79466.55
711,79597.6
712,80521.89
713,79658.99
714,79918.47
715,80003.46
716,80924.53
717,81083.34
718,80692.37
719,80458.05
720,81014.83
721,80858.66
722,80835.55
723,80216.98
724,80821.56
725,80760.38
726,80480.13
727,80286.58
728,80023.5
729,79880.94
730,79761.45
731,79420.22
732,79485.73
733,79343.72
734,79135.28
735,78633.65
736,79327.37
737,79550.91
738,79984.86
739,80175.55
740,81339.11
741,81549.6
742,81352.41
743,81294.76
744,81276.33
745,81310.86
746,81107.78
747,80664.42
748,80200.18
749,79494.99
750,79188.03
751,78490.45
752,77142.14
753,75883.83
754,74819.95
755,73356.8
756,72902.23
757,72271.32
758,71331.49
759,70686.46
