,demand
445,62534.61
446,62426.17
447,62481.61
448,62789.42
449,63128.6
450,63741.56
451,64802.59
452,66055.57
453,66333.04
454,66620.12
455,66828.29
456,67049.78
457,66379.37
458,66531.58
459,66164.75
460,65649.67
461,64957.03
462,64435.05
463,63776.24
464,62329.2
465,61304.05
466,60541.55
467,59959.1
468,59344.99
469,58918.79
470,58593.2
471,58219.06
472,58726.06
473,58282.38
474,57612.75
475,57288.8
476,56309.22
477,55612.28
478,55171.5
479,54650.07
480,53437.67
481,52477.36
482,51911.12
483,51387.89
484,50749.84
485,50333.56
486,50174.92
487,49812.6
488,49148.08
489,48997.57
490,48746.33
491,48610.21
492,48712.64
493,48838.68
494,48580.15
495,48445.88
496,48563.18
497,48635.21
498,48645.78
499,48695.49
500,48507.62
501,48110.69
502,47989.979999999996
503,47882.53
504,47751.57
505,47831.03
506,47929.33
507,48331.88
508,48727.39
509,48983.92
510,49335.3
511,50148.66
512,51137.35
513,51784.29
514,52442.81
515,53361.9
516,54529.1
517,55486.49
518,56302.14
519,56933.07
520,57789.979999999996
521,58438.74
522,59128.11
523,59757.53
524,60637.28
525,61184.32
526,61720.34
527,61992.18
528,62266.08
529,62012.49
530,61836.53
531,61513.56
532,61002.96
533,60558.26
534,60428.92
535,60133.94
536,60382.43
537,60141.78
538,59871.1
539,59476.31
540,59005.25
541,59075.44
542,59025.62
543,58993.88
544,59351.8
545,59984.05
546,60973.35
547,62200.65
548,63242.45
549,63932.020000000004
550,64297.36
551,64412.25
552,65240.68
553,65185.89
554,64871.14
555,64265.74
556,64224.67
557,63547.729999999996
558,63353.22
559,62749.270000000004
560,62309.31
561,61574.61
562,60678.08
563,60163.18
564,59762.770000000004
565,59546.020000000004
566,59129.0
567,58418.63
568,58987.38
569,59350.66
570,58067.24
571,57177.06
572,56841.53
573,56058.51
574,55187.72
575,53852.53
576,53442.45
577,52755.8
578,51775.65
579,51219.46
580,51463.17
581,50839.25
582,50388.62
583,50116.6
584,50561.58
585,50287.15
586,50005.42
587,50128.92
588,50820.24
589,50987.36
590,50751.32
591,50955.35
592,52060.84
593,52141.41
594,52782.26
595,53589.36
596,55558.95
597,55978.17
598,57261.770000000004
599,59160.39
600,62918.270000000004
601,65464.85
602,67358.2
603,68810.98
604,71140.97
605,72155.67
606,73529.64
607,74344.22
608,75548.24
609,75660.11
610,75996.17
611,76221.35
612,76082.17
613,76053.93
614,76291.08
615,76541.73
616,77018.42
617,77388.36
618,77726.37
619,77956.85
620,78285.47
621,78624.29
622,78693.72
623,78688.08
624,78452.72
625,78472.64
626,78488.41
627,78441.6
628,78612.36
629,78674.2
630,78492.13
631,77921.82
632,78057.86
633,78221.6
634,78278.0
635,78027.07
636,78319.46
637,78010.24
638,77677.23
639,77719.97
640,77998.46
641,78456.33
642,78864.73
643,79679.32
644,80680.21
645,80959.77
646,80959.69
647,81050.08
648,80469.82
649,80050.1
650,79825.43
651,79568.54
652,79087.07
653,78269.35
654,77709.84
655,77350.86
656,76094.57
657,75064.08
658,74244.88
659,73305.39
660,72660.79
661,71964.62
662,71222.44
663,70165.86
664,69788.15
665,68880.54
666,67604.52
667,66433.11
668,65192.2
669,64418.85
670,63382.64
671,62786.36
672,60845.76
673,60232.32
674,59615.81
675,59214.479999999996
676,58602.979999999996
677,58305.42
678,57938.34
679,57522.81
680,57383.44
681,57323.18
682,57285.479999999996
683,57325.88
684,57607.270000000004
685,57717.14
686,57973.85
687,58208.22
688,58661.95
689,59055.5
690,59641.32
691,60200.12
692,61433.979999999996
693,62242.47
694,63457.520000000004
695,64909.47
696,67923.28
697,69826.59
698,71653.73
699,73355.92
700,75462.45
701,76619.47
702,77780.8
703,78626.94
704,79578.97
705,80024.73
706,80028.43
707,79384.25
708,79814.16
709,80147.53
710,79658.0
711,79788.89
712,80713.19
713,79850.19
714,80109.79
715,80194.68
716,81115.92
717,81274.93
718,80883.75
719,80649.86
720,81206.79
721,81050.87
722,81027.41
723,80409.01
724,81013.61
725,80952.27
726,80671.88
727,80478.03
728,80215.1
729,80071.96
730,79951.59
731,79609.94
