name,technology,minLoad,maxLoad,installedCapacity,effElec,minDowntime,minRuntime,coldStartUpCost,maxAllowedColdStartups,standbyCons,comprCons,maxSOC,company
Iron_steel,AEL,0.15,1,3069,0.65,1,1,50,250,0.02,0.0012,616500,Iron_steel
Olefin,AEL,0.15,1,2597,0.65,1,1,50,250,0.02,0.0012,532850,Olefin
Methanol,AEL,0.15,1,161,0.65,1,1,50,250,0.02,0.0012,33100,Methanol
Ammonia,AEL,0.15,1,246,0.65,1,1,50,250,0.02,0.0012,50500,Ammonia
